Tick Block StakeCount0 TotalStakeQspWei0 totalStakers0 DepositQspWei0 PoolState0 PoolSizeQspWei0 MinStakeStartBlock0 ActionOfAgent0 WithdrawInterestAgent0 PoolId ActionOfAgent1 WithdrawInterestAgent1 PoolId ActionOfAgent2 WithdrawInterestAgent2 PoolId ActionOfAgent3 WithdrawInterestAgent3 PoolId ActionOfAgent4 WithdrawInterestAgent4 PoolId Method0 Amount0 PoolId0 Error0 Method1 Amount1 PoolId1 Error1 Method2 Amount2 PoolId2 Error2 Method3 Amount3 PoolId3 Error3 Method4 Amount4 PoolId4 Error4 RewardAgent0 BalanceAgent0 RewardAgent1 BalanceAgent1 RewardAgent2 BalanceAgent2 RewardAgent3 BalanceAgent3 RewardAgent4 BalanceAgent4
55 26520 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
56 26525 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
57 26530 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
58 26535 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
59 26540 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
60 26545 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
61 26550 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
62 26555 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
63 26560 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
64 26565 1 0 2 0 6 0 26031 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 0 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 undefined 0 -1 1 0 2.002e+21 0 1.693e+21 0 1.379e+21 0 1.684e+21 0 1.467e+21
